run_name,date,time,timestamp,model,lineage,generation,real_percent,real_loss,perplexity,output_entropy_nats,output_entropy_bits,distinct_1,distinct_2,distinct_3,distinct_4
p160m-mix0-real-20260814-134315,2026-08-14,13:43:51,2026-08-14T13:43:51,EleutherAI/pythia-160m-deduped,real,5,100.0,3.256997,25.9714,2.331849,3.364147,0.113647,0.52223,0.722457,0.802493
p160m-mix0-real-20260814-134315,2026-08-14,13:44:44,2026-08-14T13:44:44,EleutherAI/pythia-160m-deduped,real,6,100.0,3.247821,25.7342,2.404926,3.469575,0.103973,0.524217,0.7178,0.781342
p160m-mix0-real-20260814-134315,2026-08-14,13:45:46,2026-08-14T13:45:46,EleutherAI/pythia-160m-deduped,real,7,100.0,3.250158,25.7944,2.284495,3.29583,0.103058,0.508134,0.69568,0.773146
p160m-mix0-real-20260814-134315,2026-08-14,13:46:48,2026-08-14T13:46:48,EleutherAI/pythia-160m-deduped,real,8,100.0,3.258806,26.0185,2.413932,3.482568,0.123962,0.551584,0.739706,0.809492
p160m-mix0-real-20260814-134315,2026-08-14,13:47:53,2026-08-14T13:47:53,EleutherAI/pythia-160m-deduped,real,9,100.0,3.252796,25.8625,2.283613,3.294557,0.1091,0.520364,0.716115,0.795494
p160m-mix0-real-20260814-134315,2026-08-14,13:49:00,2026-08-14T13:49:00,EleutherAI/pythia-160m-deduped,real,10,100.0,3.263207,26.1332,2.379802,3.433329,0.107025,0.515931,0.708885,0.781465
